nocontrat;exposition;zone;puissance;agevehicule;ageconducteur;bonus;marque;carburant;densite;region;nbre;no;garantie;cout
129020;1;D;5;3;57;50;3;D;82;13;1;42860;4BG;564.06
129088;1;C;4;11;55;50;5;E;82;13;2;97904;1RC;0
129088;1;C;4;11;55;50;5;E;82;13;2;97905;2DO;176.89
129229;1;C;6;4;38;54;2;E;53;11;1;78509;4BG;0
129313;1;D;9;13;50;50;10;E;52;13;3;41261;1RC;1128.12
129438;1;C;6;11;46;50;1;D;53;13;1;83407;1RC;109.61
129855;0.21;B;5;3;52;50;2;D;24;13;3;33896;2DO;238.04
129855;0.21;B;5;3;52;50;2;D;24;13;3;35396;4BG;4475.9
129855;0.21;B;5;3;52;50;2;D;24;13;3;33885;1RC;3938.28
130138;0.1;E;7;3;50;62;1;E;24;13;2;97455;1RC;0
130138;0.1;E;7;3;50;62;1;E;24;13;2;97466;2DO;162.2
130231;1;D;4;1;55;50;2;E;52;13;4;45088;3VI;158.07
130231;1;D;4;1;55;50;2;E;52;13;4;25204;3VI;88.88
130231;1;D;4;1;55;50;2;E;52;13;4;25205;4BG;56.33
130231;1;D;4;1;55;50;2;E;52;13;4;45099;4BG;71.81
130565;0.57;D;6;0;36;54;5;D;24;11;2;26093;2DO;230.28
130565;0.57;D;6;0;36;54;5;D;24;11;2;26092;1RC;1415.11
130930;0.53;A;13;0;51;50;6;E;24;13;1;90296;1RC;1128.12
131161;0.31;C;7;4;45;73;4;E;93;5;2;26693;1RC;3714.26
131161;0.31;C;7;4;45;73;4;E;93;5;2;26694;2DO;1425.85
131193;1;D;6;1;67;50;13;D;82;13;1;46389;2DO;1709.33
131279;0.16;C;10;12;51;58;12;E;24;13;2;31065;2DO;0
131279;0.16;C;10;12;51;58;12;E;24;13;2;31054;1RC;1083.85
131287;1;A;7;15;46;50;1;E;24;13;1;99910;2DO;58.94
131356;0.83;A;6;8;64;50;2;D;24;13;2;34795;1RC;269.7
131356;0.83;A;6;8;64;50;2;D;24;13;2;28332;4BG;1746.51
131537;1;A;6;4;33;63;2;D;24;13;2;36627;2DO;393.88
131537;1;A;6;4;33;63;2;D;24;13;2;36616;1RC;1387.84
131594;1;E;5;7;38;50;1;E;11;13;1;24206;2DO;0
131914;0.24;D;5;2;59;50;3;D;52;13;1;63559;1RC;182.33
131938;1;C;6;5;30;60;2;D;24;9;5;99080;3VI;25.64
131938;1;C;6;5;30;60;2;D;24;9;5;39453;2DO;502.66
131938;1;C;6;5;30;60;2;D;24;9;5;39442;1RC;97.32
131938;1;C;6;5;30;60;2;D;24;9;5;99081;4BG;588.34
131938;1;C;6;5;30;60;2;D;24;9;5;98974;3VI;70.75
132865;0.04;C;5;0;61;50;1;D;82;13;1;29560;1RC;725.66
133062;1;C;14;7;54;50;10;E;24;13;2;88718;1RC;339.26
133062;1;C;14;7;54;50;10;E;24;13;2;88262;4BG;459.3
133091;1;A;6;6;32;156;1;D;24;-1;1;86023;1RC;132.29
133104;0.69;C;8;11;34;54;4;E;24;11;1;99618;4BG;259.41
133381;1;A;6;5;48;50;1;E;24;13;1;26062;4BG;96.1
133779;1;A;10;1;43;50;5;D;82;13;1;29453;2DO;2007.8
134112;0.59;E;5;4;33;60;4;D;52;9;1;25037;1RC;736.13
134311;1;B;5;2;34;50;2;D;82;13;1;28530;1RC;0
134466;0.68;B;7;6;42;58;2;D;82;13;2;29512;2DO;1128.12
134466;0.68;B;7;6;42;58;2;D;82;13;2;29510;1RC;208.63
134523;0.78;E;7;3;49;50;11;D;52;13;1;29844;4BG;241.75
134644;1;C;7;4;55;50;1;D;53;13;1;43094;4BG;341.66
134678;1;B;6;9;51;56;2;D;52;13;2;60902;1RC;698.81
134770;0.33;E;4;1;49;50;1;E;52;13;1;23088;2DO;424.28
134799;0.75;C;14;17;65;50;11;E;52;13;1;29003;3VI;238.7
135139;0.59;A;7;1;53;50;1;E;24;13;1;76029;3VI;12.73
135564;0.93;C;7;3;52;50;4;E;24;13;2;48462;2DO;215.67
135577;1;D;7;7;45;62;1;E;53;13;1;41139;4BG;652.05
136054;1;E;4;7;55;52;1;E;82;13;2;98049;2DO;1128.12
136054;1;E;4;7;55;52;1;E;82;13;2;98048;1RC;969.37
136140;1;C;4;8;53;85;6;E;82;3;2;26476;2DO;3420.11
136140;1;C;4;8;53;85;6;E;82;3;2;26465;1RC;187.37
136166;0.76;B;6;11;36;51;2;E;82;12;1;29539;4BG;3.8
136285;1;A;4;5;78;50;2;E;24;13;2;74964;2DO;211.24
136285;1;A;4;5;78;50;2;E;24;13;2;74975;3VI;150.69
136726;1;A;7;3;44;62;4;E;24;13;1;27629;4BG;668.96
136858;0.55;A;5;11;51;50;2;D;24;13;3;98534;2DO;0
136858;0.55;A;5;11;51;50;2;D;24;13;3;98532;1RC;2198.28
136858;0.55;A;5;11;51;50;2;D;24;13;3;98572;1RC;1128.12
137127;1;C;8;1;35;106;12;D;25;-1;2;45379;1RC;82.28
137127;1;C;8;1;35;106;12;D;25;-1;2;23158;2DO;312.59
137391;0.51;B;5;1;50;50;5;D;24;13;1;30729;4BG;481.38
137571;0.62;B;9;9;62;50;12;D;72;13;1;99591;4BG;798.76
137744;1;C;5;9;35;50;5;D;54;13;1;23281;1RC;2147.61
138155;1;C;5;7;40;50;5;D;82;13;1;25235;2DO;314.42
138177;1;E;6;11;37;51;2;D;82;12;2;40661;4BG;426.55
138177;1;E;6;11;37;51;2;D;82;12;2;98307;1RC;291.73
138235;1;E;6;5;59;50;1;D;82;13;1;36050;4BG;53.29
138554;1;C;7;1;64;50;2;E;24;13;1;40417;1RC;157.69
138593;1;C;8;3;33;60;3;D;82;9;1;29460;3VI;57.41
138670;1;D;7;9;37;50;2;E;24;13;1;28370;4BG;61.55
138739;1;E;4;11;65;50;1;E;82;13;1;36038;4BG;0
139162;1;B;6;1;30;85;2;E;52;3;1;25081;2DO;60.85
139320;1;D;7;8;36;57;2;E;24;10;3;65603;4BG;82.05
139320;1;D;7;8;36;57;2;E;24;10;3;66502;2DO;1801.61
139320;1;D;7;8;36;57;2;E;24;10;3;66513;3VI;2737.67
139439;1;A;12;2;38;55;10;D;52;13;1;24178;2DO;181.77
139449;0.83;C;7;15;35;51;1;E;24;12;1;27450;4BG;2988.91
139473;0.03;A;5;5;49;50;1;E;52;13;1;63338;2DO;199.1
140009;1;C;5;14;58;50;1;E;82;13;1;98741;4BG;291.92
140669;0.22;B;6;15;51;50;2;E;24;13;1;28037;4BG;248.12
140694;0.09;B;6;7;35;57;3;D;24;10;1;26498;2DO;462.28
140697;1;A;8;5;35;54;2;D;26;11;1;27848;4BG;1128.12
141091;1;D;6;1;62;50;4;D;54;13;2;25704;1RC;0
141091;1;D;6;1;62;50;4;D;54;13;2;25705;2DO;1128.12
141105;0.66;C;6;18;48;62;1;E;53;13;3;83395;1RC;89.38
141105;0.66;C;6;18;48;62;1;E;53;13;3;83351;4BG;1128.12
141105;0.66;C;6;18;48;62;1;E;53;13;3;83340;1RC;912.08
141146;0.89;E;4;8;56;50;1;E;53;13;1;23154;2DO;1128.12
141568;1;A;4;7;39;52;6;E;82;13;2;97985;1RC;0
141568;1;A;4;7;39;52;6;E;82;13;2;97986;2DO;2091.49
142364;1;D;4;11;50;55;2;E;24;13;1;67914;2DO;63.82
142388;1;D;7;1;46;50;2;D;11;13;2;30700;4BG;109.61
142665;1;C;6;6;64;50;2;D;82;13;2;97977;4BG;198.06
142665;1;C;6;6;64;50;2;D;82;13;2;97935;1RC;405.76
142906;1;A;7;5;37;50;1;D;24;13;2;98515;1RC;0
142906;1;A;7;5;37;50;1;D;24;13;2;98516;2DO;59.61
143065;0.51;A;5;4;29;83;3;D;24;3;2;30793;3VI;132.33
143065;0.51;A;5;4;29;83;3;D;24;3;2;30794;4BG;860.77
143092;1;D;6;4;28;60;6;D;24;9;1;33363;3VI;292.46
143159;0.27;A;7;9;72;50;2;E;24;13;1;30657;4BG;339.29
143341;1;D;6;10;63;50;2;D;82;13;2;77532;4BG;1128.12
143341;1;D;6;10;63;50;2;D;82;13;2;77054;1RC;271.55
143514;1;C;7;2;40;50;1;E;52;13;1;43671;4BG;10108.13
143592;0.09;C;7;1;34;90;1;E;53;2;1;24817;2DO;139.69
143758;0.68;B;6;11;32;67;1;D;24;7;2;27522;4BG;1128.12
143758;0.68;B;6;11;32;67;1;D;24;7;2;27521;1RC;78.61
143783;1;C;5;2;46;50;2;D;24;13;1;96075;4BG;1128.12
143860;1;C;5;2;52;50;2;D;72;13;2;67670;1RC;3010.45
143860;1;C;5;2;52;50;2;D;72;13;2;67681;2DO;355.74
144084;0.84;A;6;9;41;50;1;D;24;13;1;30858;2DO;427.11
144113;0.13;A;12;0;53;50;10;D;24;13;1;28009;4BG;234.43
144315;0.67;C;6;1;53;50;3;D;54;13;2;43914;4BG;38.55
144315;0.67;C;6;1;53;50;3;D;54;13;2;43903;2DO;105.08
144957;1;A;11;22;47;55;1;D;54;13;1;81434;4BG;1128.12
145452;0.88;A;8;4;42;50;6;D;23;13;1;24645;1RC;72.57
145839;1;B;7;14;48;50;1;E;24;13;2;30220;1RC;230.09
145839;1;B;7;14;48;50;1;E;24;13;2;30218;4BG;593.83
145841;0.25;C;7;7;54;50;11;D;24;13;1;27474;4BG;0
146004;1;E;5;10;68;72;1;E;11;6;3;27669;2DO;1128.12
146004;1;E;5;10;68;72;1;E;11;6;3;27964;1RC;846.85
146004;1;E;5;10;68;72;1;E;11;6;3;27965;2DO;2838.73
146028;0.8;B;6;6;31;60;5;E;24;9;2;26326;2DO;1128.12
146028;0.8;B;6;6;31;60;5;E;24;9;2;26325;1RC;724.1
146291;0.47;A;5;1;27;60;3;D;24;9;2;68313;2DO;317.62
146291;0.47;A;5;1;27;60;3;D;24;9;2;68380;4BG;202.11
146544;0.91;A;6;8;42;50;1;D;25;13;1;44248;4BG;3482.18
146550;1;A;6;7;28;76;3;D;24;5;2;24627;2DO;1128.12
146550;1;A;6;7;28;76;3;D;24;5;2;24626;1RC;760.36
146560;1;D;5;6;29;85;1;E;11;3;2;26830;2DO;26.54
146560;1;D;5;6;29;85;1;E;11;3;2;26832;3VI;236.26
146858;1;E;6;6;27;54;3;E;82;11;1;98268;4BG;442.51
147314;1;A;8;5;27;59;4;E;52;13;2;80115;1RC;977.04
147314;1;A;8;5;27;59;4;E;52;13;2;80126;2DO;1135.81
147422;0.11;A;8;9;41;54;13;D;74;11;1;90284;1RC;313.82
147489;1;A;6;4;64;50;3;E;24;13;1;43538;4BG;854.66
147608;1;E;6;7;30;57;3;E;53;10;1;23033;1RC;1493.23
147717;0.21;C;6;5;46;50;1;D;52;13;2;26809;2DO;1220.45
147717;0.21;C;6;5;46;50;1;D;52;13;2;26798;1RC;262.75
147854;0.59;B;6;5;55;50;1;D;52;13;1;23242;4BG;451.59
148005;1;A;7;10;34;50;1;E;24;13;1;30893;2DO;264.73
148185;0.8;D;4;5;46;54;2;E;11;11;1;30795;4BG;62.22
148774;0.12;A;5;4;29;64;3;D;24;8;1;91703;1RC;450.02
148862;0.09;D;9;10;29;68;1;E;24;7;1;33752;4BG;719.5
148961;1;C;5;5;53;50;5;D;24;13;2;30406;2DO;1128.12
148961;1;C;5;5;53;50;5;D;24;13;2;30405;1RC;143.44
149005;0.98;D;6;3;34;51;2;E;82;12;1;28554;4BG;0
149424;1;D;6;4;36;80;1;E;53;4;2;93464;2DO;0
150414;0.94;E;6;6;30;90;3;D;11;2;2;69044;2DO;0
150414;0.94;E;6;6;30;90;3;D;11;2;2;69033;1RC;101.65
150564;1;B;6;9;43;50;1;D;24;13;1;99380;4BG;1071.41
150694;1;D;4;8;45;55;1;E;52;13;2;24967;2DO;1128.12
150694;1;D;4;8;45;55;1;E;52;13;2;24966;1RC;2402.15
150790;0.38;B;6;8;35;50;1;D;52;13;1;79650;2DO;29.46
151144;1;A;6;8;51;50;3;D;24;13;2;26508;2DO;706.12
151144;1;A;6;8;51;50;3;D;24;13;2;26507;1RC;874.52
151160;0.28;D;4;4;54;68;5;E;24;7;2;82298;2DO;892.3
151160;0.28;D;4;4;54;68;5;E;24;7;2;82187;1RC;1211.58
151232;1;D;6;3;46;58;12;E;53;13;1;27334;2DO;830.29
151556;0.74;A;9;1;44;50;3;E;24;13;2;90085;2DO;1128.12
151556;0.74;A;9;1;44;50;3;E;24;13;2;90075;1RC;386.21
151559;0.86;E;7;5;60;56;5;D;93;13;3;24131;2DO;552.28
151559;0.86;E;7;5;60;56;5;D;93;13;3;24120;1RC;82.53
151853;0.96;C;5;13;29;57;2;E;52;10;1;24894;4BG;402.6
152027;1;B;4;5;39;50;11;D;54;13;1;25818;4BG;462.7
152892;1;C;7;10;30;50;2;D;53;13;1;79361;4BG;225.37
153108;1;B;5;8;29;90;2;D;52;2;2;23261;4BG;198.25
153108;1;B;5;8;29;90;2;D;52;2;2;43427;4BG;346.44
153223;0.49;E;5;14;28;95;1;D;24;1;1;29967;1RC;1128.12
153414;1;D;6;6;47;50;2;D;52;13;3;25051;1RC;199.52
153414;1;D;6;6;47;50;2;D;52;13;3;25052;2DO;774.72
153414;1;D;6;6;47;50;2;D;52;13;3;35251;2DO;702.17
153539;1;C;5;2;29;80;1;D;24;4;1;99747;2DO;223.44
153709;0.69;D;6;8;29;60;1;D;25;9;1;97851;4BG;209.78
153933;1;C;5;17;33;63;3;D;24;13;3;49216;4BG;1128.12
153933;1;C;5;17;33;63;3;D;24;13;3;48385;1RC;1827.2
154202;0.4;C;7;12;50;50;2;D;24;13;1;27702;1RC;6181.01
154374;1;E;7;2;55;53;2;E;82;13;2;77421;2DO;1128.12
154374;1;E;7;2;55;53;2;E;82;13;2;77409;1RC;1128.12
154667;1;C;6;11;57;50;1;D;53;13;1;76558;1RC;779.42
154831;0.63;F;6;2;41;51;2;E;11;12;1;26710;1RC;84.33
154842;0.48;E;5;7;28;80;1;E;53;4;2;59947;1RC;616.97
154842;0.48;E;5;7;28;80;1;E;53;4;2;59958;2DO;15.05
154890;0.83;E;6;10;27;72;1;D;91;6;2;99673;2DO;828.93
154890;0.83;E;6;10;27;72;1;D;91;6;2;99674;3VI;1533.11
155139;0.69;C;6;2;62;60;2;D;26;9;1;88707;2DO;88.89
155302;1;E;5;6;25;80;1;E;11;4;3;26630;4BG;102.14
156000;0.94;A;7;2;31;50;2;E;26;13;1;27064;1RC;25.59
156035;0.59;C;5;12;36;54;2;D;93;11;1;49271;1RC;259.63
156065;0.43;A;6;4;36;51;2;D;82;12;1;98064;4BG;1128.12
156090;1;A;7;1;34;62;1;D;24;13;2;28952;1RC;0
156090;1;A;7;1;34;62;1;D;24;13;2;28953;2DO;229.59
156362;1;D;4;8;68;50;2;E;24;13;2;31875;1RC;0
156362;1;D;4;8;68;50;2;E;24;13;2;31886;2DO;287.34
156714;1;D;6;7;43;50;2;D;25;13;1;97830;4BG;1128.12
157150;1;E;7;3;41;50;13;D;53;13;2;76524;1RC;3175.84
157150;1;E;7;3;41;50;13;D;53;13;2;76536;2DO;209.06
157162;0.69;D;7;8;53;50;1;D;52;13;1;98874;4BG;194.4
157178;0.75;C;7;13;33;76;1;E;54;5;1;28140;1RC;365.88
157400;0.35;D;6;7;27;72;1;D;54;6;3;28092;3VI;109.13
157400;0.35;D;6;7;27;72;1;D;54;6;3;44679;4BG;67.52
157400;0.35;D;6;7;27;72;1;D;54;6;3;28091;2DO;77.33
157974;0.62;B;7;9;27;68;1;E;52;7;1;29050;4BG;807.45
158346;1;C;4;14;37;80;6;E;82;4;1;98710;1RC;1128.12
158437;0.66;A;7;9;26;100;2;E;82;0;1;73416;1RC;75.03
158703;0.61;C;5;10;30;72;5;D;53;6;2;46156;1RC;688.49
158703;0.61;C;5;10;30;72;5;D;53;6;2;92679;1RC;13999.27
158817;0.23;A;7;4;36;55;3;D;24;13;2;28196;2DO;152449.02
158817;0.23;A;7;4;36;55;3;D;24;13;2;28197;5CO;117.6
158846;1;C;12;4;45;50;11;E;24;13;1;26269;4BG;500.65
158869;0.63;A;7;10;33;50;6;E;24;13;1;27801;1RC;489.46
159031;0.48;E;5;6;29;80;6;E;82;4;1;97954;3VI;68.54
159116;0.92;B;5;0;37;50;1;D;24;13;1;28810;4BG;529.32
159196;0.39;D;5;4;31;68;6;E;23;7;1;59291;3VI;165.46
159499;1;D;6;12;40;72;5;E;82;6;1;37368;1RC;1511.01
159527;0.32;C;5;1;35;50;2;D;52;13;1;79084;2DO;1128.12
159753;1;A;6;3;43;50;12;D;54;13;2;28063;1RC;818.77
159753;1;A;6;3;43;50;12;D;54;13;2;28064;2DO;111.4
160206;0.46;A;6;4;69;50;2;D;24;13;1;27636;2DO;1128.12
160346;0.26;A;6;15;40;50;2;D;54;13;1;86178;1RC;12581.6
160639;0.81;C;6;2;25;165;3;D;52;-1;1;25061;2DO;409.94
160710;0.42;A;10;9;47;50;10;D;24;13;1;30715;4BG;6.8
160777;0.17;A;7;11;44;50;2;D;24;13;2;26387;2DO;292.14
160844;1;D;7;2;35;85;1;E;53;3;1;27243;1RC;109.58
160856;0.9;E;4;7;40;72;13;E;24;6;1;44799;4BG;1128.12
160986;1;C;9;5;43;50;2;E;82;13;2;55992;1RC;1506.04
160986;1;C;9;5;43;50;2;E;82;13;2;56003;2DO;0
161011;1;E;5;8;69;55;2;E;82;13;2;34087;2DO;1128.12
161011;1;E;5;8;69;55;2;E;82;13;2;34076;1RC;1388.42
161093;1;B;6;10;44;58;1;D;82;13;1;23639;1RC;1971.88
161139;1;A;6;3;49;55;1;E;24;13;1;36971;2DO;1128.12
161414;0.9;E;4;13;28;85;1;E;53;3;1;23001;1RC;92.49
161532;1;C;7;8;36;75;2;D;24;5;1;43605;4BG;440.82
161557;1;D;6;1;46;58;5;D;25;13;1;97849;4BG;0
161934;0.85;D;6;12;53;76;2;E;54;5;1;82099;1RC;0
162311;1;A;6;5;49;50;2;D;24;13;2;26481;2DO;1128.12
162311;1;A;6;5;49;50;2;D;24;13;2;26480;1RC;2056.31
162896;1;C;5;6;36;63;5;E;25;13;2;60814;2DO;1128.12
162896;1;C;5;6;36;63;5;E;25;13;2;60803;1RC;177.59
163029;0.75;D;7;8;36;50;2;D;24;13;1;28358;4BG;274.41
163275;1;C;6;1;37;50;1;E;82;13;2;57337;2DO;63.68
163606;1;A;6;2;27;57;1;D;24;10;1;96720;4BG;3716.63
163611;0.98;D;6;3;46;50;4;E;53;13;1;91838;2DO;242.71
163824;0.91;C;7;10;61;58;2;D;82;13;1;37756;1RC;230.99
163885;0.24;E;7;6;34;90;4;E;53;2;1;76161;4BG;191.69
164139;0.28;D;5;2;58;50;3;D;72;13;2;23301;4BG;272.32
164139;0.28;D;5;2;58;50;3;D;72;13;2;23321;4BG;632.91
164145;0.24;D;5;0;43;50;1;D;82;13;1;23740;2DO;406.85
164383;0.1;D;4;4;28;80;2;D;54;4;1;30831;2DO;161.98
164703;1;D;5;3;57;50;5;E;11;13;1;26574;4BG;0
164949;0.98;C;6;3;39;56;2;D;22;13;2;79472;2DO;1128.12
164949;0.98;C;6;3;39;56;2;D;22;13;2;79461;1RC;1203.24
164963;0.41;C;4;9;40;50;6;E;24;13;1;72819;2DO;310.77
165095;0.19;A;7;6;23;76;2;D;24;5;1;29234;4BG;9.91
165699;0.5;D;10;4;41;54;5;D;24;11;2;67459;2DO;2540.27
165836;0.41;E;5;5;31;106;1;D;82;-1;4;55948;1RC;0
165836;0.41;E;5;5;31;106;1;D;82;-1;4;55959;2DO;5479.9
165836;0.41;E;5;5;31;106;1;D;82;-1;4;56059;2DO;22233.65
165930;0.41;E;7;2;27;76;10;D;82;5;3;57149;2DO;25471.5
165930;0.41;E;7;2;27;76;10;D;82;5;3;57138;1RC;1128.12
165951;1;B;7;10;63;50;2;E;24;13;2;30692;1RC;0
165951;1;B;7;10;63;50;2;E;24;13;2;30693;2DO;57.85
166248;0.95;C;4;15;36;100;4;E;11;0;1;23098;4BG;424.91
166398;1;B;5;12;47;50;2;D;53;13;1;24786;4BG;195.97
166537;1;D;4;3;35;60;2;D;82;9;1;27740;4BG;512.11
166669;1;C;6;2;75;106;3;E;24;-1;1;27836;2DO;417.64
166879;0.96;E;4;3;21;85;1;E;53;3;1;23190;3VI;218.31
167048;0.53;A;4;11;25;50;1;E;24;13;1;85802;4BG;644.85
167456;1;C;6;4;29;57;5;E;82;10;1;26043;2DO;3869.89
167732;1;C;7;2;47;50;1;D;24;13;3;28172;2DO;1128.12
167732;1;C;7;2;47;50;1;D;24;13;3;28061;1RC;203.61
167732;1;C;7;2;47;50;1;D;24;13;3;96553;4BG;136.02
167754;1;C;5;9;32;54;2;D;52;11;2;25111;4BG;65.64
167800;0.75;A;6;5;33;50;2;D;82;13;1;57193;1RC;3305.67
168009;0.44;A;7;5;23;72;1;D;24;6;2;29322;2DO;1194.59
168009;0.44;A;7;5;23;72;1;D;24;6;2;29321;1RC;1292.33
168239;1;C;10;20;70;55;10;D;24;13;4;27478;1RC;0
168239;1;C;10;20;70;55;10;D;24;13;4;27796;2DO;824.09
168239;1;C;10;20;70;55;10;D;24;13;4;27479;2DO;259.15
168419;0.54;E;5;5;23;85;1;E;73;3;1;26252;4BG;146.31
168439;0.29;B;4;8;30;57;6;D;24;10;2;50912;2DO;825.53
168439;0.29;B;4;8;30;57;6;D;24;10;2;51023;3VI;-270.21
168582;1;A;6;2;27;51;2;D;41;12;2;26620;2DO;0
168582;1;A;6;2;27;51;2;D;41;12;2;26509;1RC;343.02
169002;0.83;C;7;8;35;50;6;E;82;13;1;98016;4BG;93.77
169069;1;D;6;5;54;72;2;D;24;6;1;66046;4BG;225.38
169135;1;D;7;4;47;50;1;E;24;13;1;30000;4BG;0
169164;0.73;B;7;13;37;54;1;E;53;11;2;79072;1RC;0
169905;1;C;10;4;38;73;5;E;24;5;4;28781;2DO;987.68
169905;1;C;10;4;38;73;5;E;24;5;4;24114;2DO;1128.12
169905;1;C;10;4;38;73;5;E;24;5;4;28780;1RC;0
169905;1;C;10;4;38;73;5;E;24;5;4;24103;1RC;254.27
169916;1;A;7;11;38;50;1;E;24;13;1;30957;4BG;438.41
169974;1;D;7;5;47;50;4;D;52;13;1;24842;1RC;0
170161;0.59;A;6;5;28;85;3;E;24;3;1;36849;1RC;1117.55
170173;1;E;10;11;49;112;2;D;52;-1;1;25354;1RC;232.45
170361;1;C;7;4;58;50;4;E;24;13;1;23898;4BG;31617.92
170437;0.41;C;10;4;66;50;2;E;24;13;2;99232;1RC;9199.86
170437;0.41;C;10;4;66;50;2;E;24;13;2;99233;2DO;401.76
170513;1;D;7;1;47;50;6;E;24;13;1;26030;3VI;205.44
170818;1;C;6;11;41;50;1;D;24;13;1;28675;4BG;453.81
170977;1;C;7;3;26;60;1;E;53;9;1;27138;4BG;121.51
171010;1;B;6;12;63;72;5;E;53;6;2;26869;2DO;1128.12
171010;1;B;6;12;63;72;5;E;53;6;2;26868;1RC;53.06
171081;1;C;5;8;28;68;2;D;72;7;1;28155;4BG;1195.17
171568;0.91;C;11;2;49;50;1;D;24;13;1;61756;2DO;398.78
172222;1;C;6;11;60;50;12;D;24;13;1;27468;4BG;0
172545;1;A;6;8;65;50;1;D;24;13;2;99655;2DO;0
172545;1;A;6;8;65;50;1;D;24;13;2;99654;1RC;607.37
172751;1;B;5;9;37;50;2;E;25;13;1;93717;1RC;154.68
172755;1;C;5;10;31;80;2;D;24;4;4;23978;1RC;1128.12
172755;1;C;5;10;31;80;2;D;24;4;4;23959;1RC;1523.51
172755;1;C;5;10;31;80;2;D;24;4;4;23960;2DO;70.74
172755;1;C;5;10;31;80;2;D;24;4;4;23979;2DO;320.19
173243;1;D;7;9;46;51;1;E;82;12;1;98017;4BG;5043.08
173316;0.37;B;6;3;43;50;5;E;25;13;1;59391;2DO;127.78
173321;1;A;8;2;40;50;13;D;11;13;1;44988;4BG;213.43
173550;1;D;5;7;52;50;1;D;11;13;1;40851;4BG;510.52
174187;1;D;4;16;31;63;5;E;54;13;1;98056;1RC;0
174250;1;C;7;4;33;64;1;E;24;8;2;24537;2DO;49.88
174250;1;C;7;4;33;64;1;E;24;8;2;24538;3VI;258.28
174512;0.07;D;5;9;33;60;5;D;82;9;1;30372;1RC;0
174570;0.34;C;5;11;29;119;2;D;24;-1;1;27510;1RC;654.93
174865;1;D;15;5;50;50;11;E;53;13;1;84460;4BG;208.84
174888;0.64;A;6;2;65;50;2;D;52;13;1;31630;2DO;130.21
174956;1;C;6;2;32;50;1;D;24;13;2;28688;4BG;456.46
174956;1;C;6;2;32;50;1;D;24;13;2;28713;2DO;351.21
175062;1;C;5;2;46;50;1;E;24;13;2;99795;2DO;5295.5
175062;1;C;5;2;46;50;1;E;24;13;2;99796;3VI;299.61
175145;1;E;7;4;50;84;11;D;72;3;3;27009;4BG;2332.67
175145;1;E;7;4;50;84;11;D;72;3;3;31463;2DO;1128.12
175145;1;E;7;4;50;84;11;D;72;3;3;31452;1RC;39.41
175630;1;E;7;1;77;53;1;E;24;13;2;30072;3VI;158.99
175630;1;E;7;1;77;53;1;E;24;13;2;36815;4BG;2791.66
175684;0.02;A;9;11;26;80;11;E;24;4;2;64781;2DO;627.21
175684;0.02;A;9;11;26;80;11;E;24;4;2;64670;1RC;318.26
175695;1;A;8;11;55;50;10;E;24;13;3;74987;4BG;2178.53
175695;1;A;8;11;55;50;10;E;24;13;3;74357;2DO;462.39
175695;1;A;8;11;55;50;10;E;24;13;3;39642;4BG;1128.12
176163;0.27;D;8;14;50;65;10;D;24;7;1;73894;1RC;69.3
176480;1;A;5;13;29;64;2;E;23;8;1;98805;4BG;4457.26
176823;0.18;A;5;0;42;56;2;D;25;13;1;61147;2DO;900.61
176990;1;E;6;8;51;50;3;E;91;13;1;24410;2DO;287.7
177107;1;D;6;1;37;50;2;D;31;13;1;30567;4BG;84.97
177150;0.99;A;7;12;62;50;5;D;24;13;2;30949;2DO;5272.07
177167;0.17;C;6;4;47;50;2;E;24;13;1;33552;2DO;707.19
177258;0.41;A;6;9;36;60;12;E;74;9;1;29013;2DO;0
177326;0.92;C;10;1;49;50;12;D;24;13;2;24588;2DO;-856.52
177326;0.92;C;10;1;49;50;12;D;24;13;2;24587;1RC;1128.12
177515;1;C;5;7;54;50;2;D;24;13;2;24030;1RC;1593.98
177515;1;C;5;7;54;50;2;D;24;13;2;24031;2DO;688.26
177671;0.85;D;4;5;21;118;2;E;82;-1;1;98724;1RC;168.96
177813;0.78;A;5;9;38;50;2;E;54;13;1;29062;4BG;2007.8
177900;1;C;5;2;19;62;2;D;53;13;2;27128;2DO;4047.64
177900;1;C;5;2;19;62;2;D;53;13;2;27127;1RC;1220.38
177984;0.1;C;4;7;48;55;2;E;25;13;2;61102;1RC;2238.61
177984;0.1;C;4;7;48;55;2;E;25;13;2;61113;2DO;0
178191;0.39;C;4;8;47;62;2;E;24;13;1;99874;1RC;1128.12
178211;0.51;D;7;0;53;62;10;D;53;13;2;24828;1RC;0
178211;0.51;D;7;0;53;62;10;D;53;13;2;24829;2DO;4020.04
1000028;0.87;C;7;1;57;50;12;D;93;13;1;20102;2DO;952.29
1000997;0.57;C;4;1;70;50;12;E;91;13;1;6706;2DO;75.01
1001516;0.2;C;5;2;61;68;12;D;73;7;1;18516;2DO;887.32
1001806;0.2;A;9;4;26;76;12;E;11;5;1;19349;4BG;429.67
1002163;0.28;E;7;1;64;100;12;E;82;0;1;19025;2DO;1511.17
1002185;0.28;D;5;1;50;50;12;E;11;13;1;21323;2DO;1128
1002200;0.53;A;5;1;50;87;12;D;52;2;1;6055;1RC;658.46
1002283;0.71;C;6;1;36;90;12;E;91;2;1;11727;2DO;1249.16
1002411;0.71;B;5;1;42;50;12;D;52;13;1;9036;2DO;2856.17
